,scpdsi,pdsi,phdi,pmdi,zindex
1997-09-30,-1.7986482792458136,-1.7299162011000586,-1.7986482792458136,-1.7986482792458136,-2.668962605195599
1997-10-31,-1.620384301196518,-1.558464257294053,-1.620384301196518,-1.5577989763726119,-0.020990384139069368
1997-11-30,-1.9905699993721964,-1.914503981168341,-1.9905699993721964,-1.9905699993721964,-1.6112558435967592
1997-12-31,-1.5740320936751062,-1.547832249358166,-1.5740320936751062,-1.2108111917586981,0.6345275872852618
1998-01-31,-2.0136923331633447,-1.967194930879026,-2.0136923331633447,-2.0136923331633447,-1.8053566354103239
1998-02-28,-2.1599442878397306,-2.1047215566864477,-2.1599442878397306,-2.1599442878397306,-1.0609867949766307
1998-03-31,1.0560654439731563,0.8462027876624734,-0.8814045822190821,0.6093872991125802,3.168196331919469
1998-04-30,-0.14399078951895142,-0.13848844294475887,-0.9346106997694681,0.32472468189373715,-0.4319723685568543
1998-05-31,-0.8861461611544736,-0.8522836946012191,-1.5953322206491871,-1.2349132969902368,-2.2709592688679225
1998-06-30,-0.14263312178441667,-0.24187244127868268,-0.7787730171511746,0.387393422708905,1.9567199543134386
1998-07-31,-0.45125043804609677,-0.5279134592808409,-1.0218679241900785,-0.2405336099203508,-0.9699255834164249
1998-08-31,-0.6470608547166062,-0.7065689424655477,-1.1589047397877579,-0.6132808894801647,-0.7268676353677723
1998-09-30,1.4204729152883901,1.1381947469030427,1.4204729152883901,1.4204729152883901,4.26141874586517
1998-10-31,2.4851499161178654,1.9912977919875514,2.4851499161178654,2.4851499161178654,3.6329571333125386
1998-11-30,2.383973521784062,1.9102272982795134,2.383973521784062,2.383973521784062,0.46438214107900966
1998-12-31,2.0509599022112632,1.6293518309307982,2.0509599022112632,1.871545386825587,-0.26239304048712103
1999-01-31,1.6586562628883297,1.2873925022170236,1.6586562628883297,1.1801206385581584,-0.5431643081855203
1999-02-28,2.6031940698570395,2.0485208757042797,2.6031940698570395,2.6031940698570395,3.3461382061386225
1999-03-31,2.3503551138928422,1.8497748040594015,2.3503551138928422,2.3058985173622344,0.04587009969323313
1999-04-30,2.5570055338179545,2.018811414240504,2.5570055338179545,2.5570055338179545,1.3462109899682242
1999-05-31,2.385756376142665,1.8846895689776224,2.385756376142665,2.385756376142665,0.2763672369238791
1999-06-30,3.8606609150838107,3.069276746801488,3.8606609150838107,3.8606609150838107,5.161912337051522
1999-07-31,3.9283693515739357,3.1260215201776447,3.9283693515739357,3.9283693515739357,1.3960695322312724
1999-08-31,-1.0182841008811099,-0.9793722228869934,2.5054632074807106,1.2605300695046533,-3.0548523026433294
1999-09-30,-1.2713062209312904,-1.2227255620373385,1.8894951146692625,0.23236998999710856,-1.0737161473228045
1999-10-31,-1.3566744949812881,-1.3048316424995865,1.4785643030524078,-0.37103769456609537,-0.6489384444177616
1999-11-30,-1.5498846161848052,-1.490658589737219,0.9933245856514201,-1.1109721404887363,-0.9988427825597697
1999-12-31,-1.7434717633529773,-1.6768481555768417,-1.7434717633529773,-1.7434717633529773,-1.0596757879056211
2000-01-31,0.2468185433912533,0.19777045130716217,-1.3170756283363674,-0.8807608120642973,0.7404556301737599
2000-02-29,0.9748102217881329,0.7810947056610248,0.9748102217881329,0.9748102217881329,2.260241965098536
2000-03-31,3.6529379377776925,2.927021505860447,3.6529379377776925,3.6529379377776925,8.335599506501211
2000-04-30,-0.4631741442538286,-0.44547478532674806,2.8135111859327617,2.20792935351296,-1.3895224327614857
2000-05-31,-1.088779936886496,-1.0471741885202888,1.8504068042908752,0.41784151532521463,-2.0199381884724357
2000-06-30,-2.0304195994233125,-1.9528308011093074,0.6060309074127896,-1.9687734763628262,-3.1613519881083767
2000-07-31,-1.239139398370678,-1.2852272284670903,1.1257567062613054,-0.6679678407707181,1.7464409469360995
2000-08-31,-1.5514483563451344,-1.575977619574824,0.5698634495097548,-1.5332698036643464,-1.3198209480199086
2000-09-30,-1.637336060753285,-1.6499503316549062,-1.637336060753285,-1.637336060753285,-0.737060655335098
2000-10-31,-1.5875428838371606,-1.5943161547459206,-1.5875428838371606,-1.5875428838371606,-0.35655731202439195
2000-11-30,-1.7351995006087066,-1.7293841930241343,-1.7351995006087066,-1.7351995006087066,-0.9335206014203209
2000-12-31,-2.221703924160191,-2.191067037745319,-2.221703924160191,-2.221703924160191,-1.9956899163425428
2001-01-31,-2.4539294308910007,-2.4088295344032957,-2.4539294308910007,-2.4539294308910007,-1.3831830327579284
2001-02-28,-2.493341107794547,-2.441721891845488,-2.493341107794547,-2.493341107794547,-0.8764992248559583
2001-03-31,0.6908470520015989,0.553561054940658,-1.5456799216901098,-0.5915200150005641,2.072541156004797
2001-04-30,1.647816153170678,1.320360049962703,1.647816153170678,1.647816153170678,3.084379042575731
2001-05-31,1.7999386210858963,1.4422525492870393,1.7999386210858963,1.7999386210858963,0.9655425950753944
2001-06-30,2.11011522580188,1.6907904681028147,2.11011522580188,2.11011522580188,1.4867108480634919
2001-07-31,1.578419256539623,1.2142974200737326,1.578419256539623,1.083263507502617,-0.9430623030139902
2001-08-31,1.266058782947362,0.9451651921064084,1.266058782947362,0.5178902847931344,-0.44934987050603903
2001-09-30,3.6043435603364564,2.8259210526021876,3.6043435603364564,3.6043435603364564,7.406066496098019
2001-10-31,2.841110874770135,2.1578448917917004,2.841110874770135,2.318267590912774,-1.1759558965549992
2001-11-30,3.3851592461571105,2.606003000372046,3.3851592461571105,3.3851592461571105,2.510048374464899
2001-12-31,3.8054016550535565,2.9536989807138796,3.8054016550535565,3.8054016550535565,2.306741433751885
2002-01-31,3.1365632583257983,2.3831665033356852,3.1365632583257983,2.7535823535368418,-0.8306460787717256
2002-02-28,3.7025212868256383,2.850056418843839,3.7025212868256383,3.7025212868256383,2.6670721323221915
2002-03-31,2.768732852988555,2.025181927700299,2.768732852988555,2.0595344848651,-1.657286223882129
2002-04-30,2.790587557907939,2.062608156880874,2.790587557907939,2.392688951839503,0.921102566331616
2002-05-31,2.9132463347856943,2.1787553503322354,2.9132463347856943,2.9132463347856943,1.2302678860268184
2002-06-30,2.214115397649401,1.570526588768853,2.214115397649401,1.6587951897546325,-1.1971996939601006
2002-07-31,1.9253395195736347,1.3503607386822982,1.9253395195736347,1.2472666047653456,-0.1821659763536342
2002-08-31,3.6259585728914594,2.7328450370109145,3.6259585728914594,3.6259585728914594,5.696787071501727
2002-09-30,3.111857059141965,2.3161080527571754,3.111857059141965,2.8866009712831247,-0.42188334222502083
2002-10-31,3.7271353303654275,2.8273852057208866,3.7271353303654275,3.7271353303654275,2.8073986449452546
2002-11-30,4.1780939761771725,3.205114957568795,4.1780939761771725,4.1780939761771725,2.5045607545181516
2002-12-31,3.756435341570326,2.881947258799818,3.756435341570326,3.708649353378434,0.026055134818206368
2003-01-31,3.6372360294753467,2.7996198494470375,3.6372360294753467,3.6372360294753467,0.8031405842602931
2003-02-28,-0.7641387946900257,-0.7349386181147253,2.4984619237493604,1.5369730633665373,-2.292416384070077
2003-03-31,-1.382781165025426,-1.3299406935504483,1.5437716794147032,-0.24460880150482067,-2.092045998565419
2003-04-30,-1.572628770954085,-1.5125336179290576,1.052489130508711,-1.033398170097531,-0.9968221977788335
2003-05-31,-2.4297017860193924,-2.3368551439301513,-2.4297017860193924,-2.4297017860193924,-3.0571613354207345
2003-06-30,-2.830097026798387,-2.721950007589307,-2.830097026798387,-2.830097026798387,-1.9519635742169767
2003-07-31,-2.8275806670126453,-2.7195298059237674,-2.8275806670126453,-2.8275806670126453,-0.866950901923476
2003-08-31,-3.999999999999999,-3.8471472628888286,-3.999999999999999,-3.999999999999999,-4.390980425068969
2003-09-30,-4.273531844501569,-4.110226584610616,-4.273531844501569,-4.273531844501569,-2.0565955335047112
2003-10-31,-4.073821953839077,-3.918148244802107,-4.073821953839077,-4.073821953839077,-0.7213916679635074
2003-11-30,-4.1587841790764895,-3.999863792869871,-4.1587841790764895,-4.1587841790764895,-1.5136976594485123
2003-12-31,-3.983258943948764,-3.8310459358974835,-3.983258943948764,-3.983258943948764,-0.7584886059514575
2004-01-31,0.42492358199314556,-3.095965972382557,-3.148059690728896,-2.5958620821881766,1.2747707459794366
2004-02-29,0.530321177280899,-2.6575589550319125,-2.674644818350772,-1.9027133753217222,0.4474941726991424
